id,date,hour,bc_price,bc_demand,ab_price,ab_demand,transfer,bc_price_evo
0,0.45206,1.0,0.074096,0.578846,0.005029,0.494821,0.489912,1
1,0.455555,0.574468,0.033025,0.349003,0.001554,0.264889,0.829386,0
2,0.027521,0.617021,0.098325,0.533918,0.003467,0.422915,0.414912,1
3,0.455732,0.93617,0.041822,0.588515,0.00286,0.448731,0.525,1
4,4.4e-05,0.255319,0.051489,0.30244,0.003467,0.422915,0.414912,1
5,0.456573,0.574468,0.036778,0.554151,0.002482,0.618591,0.436842,0
6,0.903544,0.042553,0.050829,0.258852,0.003328,0.295443,0.667982,1
7,0.005088,0.404255,0.075357,0.571705,0.003467,0.422915,0.414912,1
8,0.885182,0.234043,0.032034,0.271199,0.002059,0.286898,0.707895,0
9,0.44706,1.0,0.038249,0.575275,0.002459,0.477991,0.715351,0
10,0.451352,0.595745,0.03996,0.536894,0.002601,0.609788,0.571491,0
11,0.438166,0.680851,0.070704,0.461172,0.003467,0.422915,0.414912,0
12,0.031016,0.170213,0.050829,0.04582,0.003467,0.422915,0.414912,0
13,0.867439,0.319149,0.02609,0.487057,0.001732,0.506991,0.710965,0
14,0.872351,0.914894,0.028462,0.390806,0.000866,0.291559,0.767105,0
15,0.881023,0.106383,0.023658,0.121988,0.000837,0.257121,0.697807,0
16,0.000354,0.106383,0.080581,0.258554,0.003467,0.422915,0.414912,0
17,0.001062,0.276596,0.122703,0.48557,0.003467,0.422915,0.414912,1
18,0.013406,1.0,0.071905,0.464445,0.003467,0.422915,0.414912,0
19,0.018672,0.617021,0.070163,0.273282,0.003467,0.422915,0.414912,1
20,0.474006,0.595745,0.030413,0.394377,0.002061,0.332211,0.67807,1
21,0.47436,0.531915,0.02612,0.244868,0.001735,0.153547,0.841228,1
22,0.438255,0.255319,0.045304,0.180006,0.003467,0.422915,0.414912,0
23,0.473961,0.638298,0.028522,0.598631,0.00188,0.434749,0.639912,0
24,0.894651,0.595745,0.087216,0.685808,0.005573,0.688244,0.602632,1
25,0.889297,0.382979,0.040591,0.520976,0.002009,0.373382,0.57193,1
26,0.005265,0.021277,0.106731,0.510116,0.003467,0.422915,0.414912,1
27,0.460466,0.531915,0.024078,0.291729,0.00161,0.278094,0.770614,0
28,0.461174,0.382979,0.031524,0.518001,0.002121,0.534179,0.375,1
29,0.465245,0.702128,0.046655,0.460875,0.00328,0.472294,0.150439,0
30,0.897925,0.87234,0.087006,0.644005,0.005444,0.453392,0.747807,1
31,0.027432,0.893617,0.074517,0.412675,0.003467,0.422915,0.414912,1
32,0.027078,0.021277,0.093671,0.32535,0.003467,0.422915,0.414912,0
33,0.465201,0.957447,0.03936,0.451056,0.002748,0.347488,0.261842,0
34,0.014336,0.87234,0.088807,0.532282,0.003467,0.422915,0.414912,1
35,0.000796,0.085106,0.090249,0.299018,0.003467,0.422915,0.414912,1
36,0.023096,0.617021,0.109523,0.490925,0.003467,0.422915,0.414912,1
37,0.031592,0.446809,0.065059,0.354359,0.003467,0.422915,0.414912,1
38,0.460599,0.255319,0.028492,0.347813,0.001909,0.366908,0.719737,1
39,0.027521,0.702128,0.088807,0.495686,0.003467,0.422915,0.414912,1
40,0.912438,0.829787,0.053561,0.374145,0.003533,0.337649,0.606579,1
41,0.889297,0.170213,0.02663,0.163642,0.001012,0.237442,0.74386,0
42,0.8935,0.574468,0.109793,0.671824,0.007262,0.70637,0.484211,1
43,0.911685,0.553191,0.080731,0.519042,0.005505,0.604868,0.315789,1
44,0.880934,0.93617,0.028161,0.394228,0.001865,0.359917,0.717544,1
45,0.907924,0.382979,0.089288,0.542993,0.006101,0.659762,0.288158,1
46,0.473652,0.851064,0.027651,0.428741,0.001811,0.417141,0.620175,0
47,0.880669,0.829787,0.035427,0.341267,0.002248,0.304247,0.768421,0
48,0.912349,0.085106,0.043473,0.198899,0.002956,0.33506,0.476316,0
49,0.026592,0.851064,0.059445,0.355103,0.003467,0.422915,0.414912,0
50,0.871687,0.446809,0.028492,0.403749,0.001683,0.238219,0.896053,0
51,0.018495,0.87234,0.047166,0.426361,0.003467,0.422915,0.414912,0
52,0.425512,0.808511,0.084064,0.377864,0.003467,0.422915,0.414912,1
53,0.889828,0.234043,0.107692,0.364177,0.006838,0.441222,0.802193,1
54,0.469581,0.12766,0.024288,0.139988,0.001616,0.198861,0.580702,0
55,0.867086,0.234043,0.023238,0.090003,0.001554,0.0,0.819737,0
56,0.433521,0.446809,0.071064,0.52886,0.003467,0.422915,0.414912,1
57,0.915756,0.723404,0.07893,0.482594,0.005347,0.460383,0.362281,1
58,0.027123,0.680851,0.07923,0.458048,0.003467,0.422915,0.414912,1
59,0.907615,0.021277,0.078269,0.413716,0.005274,0.448213,0.500439,1
60,0.880581,0.042553,0.045785,0.373252,0.002939,0.39798,0.635088,1
61,0.447414,0.808511,0.070674,0.793663,0.005048,0.658985,0.292982,1
62,0.014114,0.87234,0.071304,0.56382,0.003467,0.422915,0.414912,1
63,0.911376,0.021277,0.046265,0.351681,0.003066,0.368203,0.56886,0
64,0.464537,0.553191,0.076858,0.303332,0.005152,0.472294,0.483333,1
65,0.460245,0.87234,0.035607,0.501636,0.002447,0.477991,0.376316,0
66,0.44675,0.87234,0.043263,0.620054,0.002906,0.489125,0.627193,0
67,0.425689,0.297872,0.09265,0.457751,0.003467,0.422915,0.414912,1
68,0.465599,0.425532,0.05218,0.533323,0.003675,0.505179,0.327193,1
69,0.894385,0.744681,0.100997,0.847367,0.006934,0.792595,0.337281,1
70,0.903544,0.617021,0.07923,0.492859,0.005401,0.472553,0.476754,1
71,0.906863,0.638298,0.037769,0.35421,0.00247,0.188762,0.727632,0
72,0.009115,0.829787,0.09247,0.655906,0.003467,0.422915,0.414912,1
73,0.018229,0.276596,0.046866,0.388872,0.003467,0.422915,0.414912,0
74,0.44675,0.425532,0.064429,0.654121,0.004449,0.58001,0.393421,0
75,0.880846,0.659574,0.030443,0.451949,0.001948,0.469446,0.673246,1
76,0.014114,0.957447,0.061217,0.508331,0.003467,0.422915,0.414912,1
77,0.027521,0.489362,0.076318,0.522315,0.003467,0.422915,0.414912,1
78,0.460997,0.680851,0.030023,0.434246,0.002063,0.391248,0.389035,0
79,0.46436,0.340426,0.029663,0.421303,0.002034,0.448472,0.446491,1
80,0.907792,0.148936,0.020506,0.141029,0.001344,0.220093,0.683772,0
81,0.894518,0.297872,0.068002,0.611574,0.004607,0.638011,0.410965,1
82,0.45175,0.297872,0.041612,0.634186,0.003016,0.552822,0.510088,1
83,0.890138,0.191489,0.035247,0.287861,0.00225,0.39073,0.766228,0
84,0.473298,0.808511,0.027921,0.46742,0.001884,0.38115,0.463596,1
85,0.447812,0.148936,0.008947,0.235049,0.000569,0.234852,0.529386,0
86,0.01792,0.170213,0.062027,0.175543,0.003467,0.422915,0.414912,0
87,0.889739,0.06383,0.067101,0.457899,0.00447,0.490678,0.542982,1
88,0.881465,0.468085,0.028942,0.506248,0.002005,0.603055,0.228509,0
89,0.023008,0.085106,0.048187,0.128682,0.003467,0.422915,0.414912,0
90,0.009159,0.531915,0.059175,0.447932,0.003467,0.422915,0.414912,0
91,0.455688,0.06383,0.036328,0.476793,0.002503,0.464785,0.589474,0
92,0.026769,0.744681,0.059865,0.41922,0.003467,0.422915,0.414912,0
93,0.017654,0.468085,0.06644,0.509075,0.003467,0.422915,0.414912,0
94,0.031813,0.148936,0.055242,0.0,0.003467,0.422915,0.414912,0
95,0.014159,0.170213,0.040651,0.199197,0.003467,0.422915,0.414912,0
96,0.451529,0.893617,0.040321,0.583755,0.001778,0.402123,0.726316,1
97,0.469448,0.361702,0.075567,0.52529,0.005002,0.523563,0.445175,1
98,0.894164,0.723404,0.066531,0.728206,0.004533,0.700155,0.471053,0
99,0.907261,0.468085,0.150024,0.505356,0.00983,0.630243,0.496053,1
100,0.880581,0.617021,0.037258,0.499405,0.002468,0.477991,0.535088,0
101,0.44675,0.957447,0.034586,0.557126,0.001425,0.383998,0.765789,0
102,0.906907,0.382979,0.030984,0.317316,0.002173,0.204557,0.584211,0
